"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2022.MMP0397,2022.MMP0397449,"Northern Africa","Tue, 04/26/2022 - 12:00",2022,April,,2,2,,1,1,,"Western Africa",Drowning,"Côte d'Ivoire","132mn south of Gran Canaria, Canary Islands - embarkation from Boujdor, Morocco on 24 Apr","Salvamento Maritimo, Helena Maleno, Txema Santana, Arab News, Canaries7, EFE","26.59929091, -16.024947","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/80tuN, https://archive.vn/G0RsN, https://archive.vn/qKzxf, https://archive.vn/FUOc1, https://archive.vn/hs469, https://archive.ph/Z9G7r","Northern Africa",5
2022.MMP0398,2022.MMP0398,"Northern Africa","Tue, 04/26/2022 - 12:00",2022,April,1,,1,,,,,"Sub-Saharan Africa (P)","Mixed or unknown",Unknown,"Unspecified location in the Atlantic between Western Sahara and Canary Islands - disembarkation at Laayoune","Alayam24, Dakhla Mobachir","27.33809627, -13.592776","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/EXyyU, https://archive.vn/NykaQ","Northern Africa",3
2022.MMP0399,2022.MMP0399,"Central America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico","Zócalo, El Siglo Coahuila","28.69614891, -100.5112011","US-Mexico border crossing","https://archive.ph/hNuJf, https://archive.ph/639xX","Central America",3
2022.MMP0400,2022.MMP0400,"North America","Thu, 04/21/2022 - 12:00",2022,April,3,,3,,,3,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Interstate 10 near Casa Grande, Pinal County, Arizona 85122, USA",Univision,"32.90107512, -111.6867731","US-Mexico border crossing",https://archive.ph/xJ8X0,"Northern America",1
2022.MMP0401,2022.MMP0401,"Central America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Behind Trinity Rail, Sabinas, Coahuila de Zaragoza, Mexico","Zócalo, Periodico La Voz","27.82041348, -101.1532647",,"https://archive.ph/Q7vjc, https://archive.ph/Flu7d","Central America",3
2022.MMP0402,2022.MMP0402,"South America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,"South America","Sickness / lack of access to adequate healthcare","Venezuela (Bolivarian Republic of)","Near Rodoviario de Iquique, Iquique, Tarapacá, Chile","Soy Chile,Tarapacá Online","-20.20811407, -70.15067347",,"https://archive.ph/Bw5I1, https://archive.ph/Z7K7G","South America",3
2022.MMP0404,2022.MMP0404,"Central America","Fri, 04/22/2022 - 12:00",2022,April,1,,1,,,,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo, in front of Ejido El Centinela, Piedras Negras, Coahuila de Zaragoza, Mexico","Breitbart, Unision","28.79815515, -100.533683","US-Mexico border crossing","https://archive.ph/uDyvc, https://archive.ph/gMehP","Central America",3
2022.MMP0405,2022.MMP0405,Caribbean,"Thu, 04/14/2022 - 12:00",2022,April,,2,2,,,2,,Caribbean,Drowning,Cuba,"West of the Municipality of Playa in Havana, Havana, Cuba",Cibercuba,"23.09257932, -82.4854845","Caribbean to US",https://archive.ph/ojmo8,Caribbean,1
2022.MMP0406,2022.MMP0406,Caribbean,"Mon, 04/04/2022 - 12:00",2022,April,,6,6,,1,2,3,Caribbean,Drowning,Cuba,"Baracoa Beach, Cuba",Cibercuba,"23.05007621, -82.56748266","Caribbean to US",https://archive.ph/ojmo8,Caribbean,1
2022.MMP0407,2022.MMP0407,"Central America","Sat, 04/16/2022 - 12:00",2022,April,,1,1,,,1,,Caribbean,Drowning,Cuba,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico",Cibercuba,"28.70505078, -100.5122816","US-Mexico border crossing",https://archive.ph/ojmo8,"Central America",1
2022.MMP0408,2022.MMP0408,"Central America","Sun, 04/24/2022 - 12:00",2022,April,1,,1,,,1,,"Central America (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Railroad tracks in Aragon, Nopala de Villagrán, Hidalgo, Mexico","La Silla Rota Hidalgo, El Sol de Tulancingo","20.2121104, -99.61669202",,"https://archive.ph/zy1KM, https://archive.ph/b01mO","Central America",3
2022.MMP0409,2022.MMP0409,"South America","Sun, 04/24/2022 - 12:00",2022,April,1,,1,,1,,,"South America",Violence,"Venezuela (Bolivarian Republic of)","Vereda Las Animas, Ipiales, Nariño, Colombia","La Patilla","0.837752035, -77.62158474",,https://archive.ph/BElMa,"South America",1
2022.MMP0411,2022.MMP0411,"Central America","Tue, 04/12/2022 - 12:00",2022,April,1,,1,,,1,,"South America",Drowning,Colombia,"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico","Noticias RCN, El Tiempo","28.69742543, -100.5111049","US-Mexico border crossing","https://archive.ph/fvPRS, https://archive.ph/1EvEv","Central America",3
2022.MMP0412,2022.MMP0412,"South-eastern Asia","Sat, 04/23/2022 - 12:00",2022,April,1,,1,11,,,1,"South-eastern Asia","Vehicle accident / death linked to hazardous transport",Cambodia,"359 Road, Moo7 Baanmaipraiwan, Sa Khwuan Subdistrict, Mueang Sa Kaeo District, Sa Kaeo Province, Thailand","Banmuang, Top News, Thai PBS","13.77498859, 101.9922317",,"https://archive.vn/xwXhm, https://archive.vn/5m5YD, https://archive.vn/yEdBD","South-eastern Asia",3
2022.MMP0413,2022.MMP0413,Europe,"Sun, 04/17/2022 - 12:00",2022,April,1,,1,5,1,,,"Eastern Africa (P)",Violence,Unknown,"Evros-Meric river near Soufli, Greece","Hellenic Ministry of Citizen Protection, AFP, AP","41.19991871, 26.318703","Türkiye-Europe land route","https://archive.ph/S1Qau, https://archive.ph/5u9i4, https://archive.ph/BZTVi","Southern Europe",5
2022.MMP0414,2022.MMP0414,Europe,"Sun, 04/03/2022 - 12:00",2022,April,1,,1,,,1,,"Northern Africa","Accidental death",Morocco,"Body found at the Zabalgarbi garbage disposal plant in Bilbao, Bizkaia, Spain","Naiz, Nius Diario","43.25080948, -2.969875",,"https://archive.ph/EAFH0, https://archive.ph/JMdin","Southern Europe",3
2022.MMP0415,2022.MMP0415,Europe,"Sun, 05/01/2022 - 12:00",2022,May,1,,1,9,,,,Unknown,"Vehicle accident / death linked to hazardous transport",Unknown,"On the Trakia highway aorund the 245km, Sliven Province, Bulgaria",Vesti,"42.66416055, 26.33257","Western Balkans",https://archive.ph/k9MqC,"Eastern Europe",1
2022.MMP0416,2022.MMP0416,Mediterranean,"Sun, 05/01/2022 - 12:00",2022,May,1,,1,,,,,"Northern Africa (P)",Drowning,Unknown,"Remains recovered close to the southern seawall, Melilla, Spain - thought to have swimmed from the Moroccan port of Béni Ansar","AMDH Nador, Infomigrants, Nador City","35.28312826, -2.916288","Western Mediterranean","https://m.facebook.com/1493677674177836/posts/3189128307966089/?d=n, https://archive.ph/uWr6d, https://archive.ph/HK7iT",Uncategorized,3
2022.MMP0417,2022.MMP0417,"Northern Africa","Sun, 05/08/2022 - 12:00",2022,May,,28,28,13,,27,1,Unknown,Drowning,Unknown,"120 km south of Gran Canaria, Spain - Embarcation from Lamsid, Western Sahara on 6 May","El Diario, Euronews, Caminando Fronteras","26.641567, -15.586981","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/UsT7X, https://archive.ph/y0dLn, https://archive.ph/1BhpE","Northern Africa",4
2022.MMP0418,2022.MMP0418,"Central America","Mon, 05/02/2022 - 12:00",2022,May,1,1,2,,,,2,"Middle Africa",Drowning,Angola,"Rio Bravo 1 mile west of Del Rio Bridge, Piedras Negras, Coahuila, Mexico","United States Customs and Border Patrol (CBP)","29.33505865, -100.940823","US-Mexico border crossing",https://archive.ph/iSaE2,"Central America",5
2022.MMP0419,2022.MMP0419,"Central America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Del Rio International Bridge, Ciudad Acuña, Coahuila, Mexico","United States Customs and Border Patrol (CBP)","29.33472955, -100.9414584","US-Mexico border crossing",https://archive.ph/iSaE2,"Central America",5
2022.MMP0420,2022.MMP0420,"North America","Fri, 05/06/2022 - 12:00",2022,May,1,,1,5,,1,,"Latin America / Caribbean (P)","Accidental death",Unknown,"Climbing border fence near La Media Rd & Drucker Ln in Otay Mesa, San Diego, CA, USA","Times of San Diego, NBC San Diego","32.54931863, -116.9494693","US-Mexico border crossing","https://archive.ph/P11js, https://archive.ph/BzeXn","Northern America",3
2022.MMP0421,2022.MMP0421,Europe,"Thu, 05/05/2022 - 12:00",2022,May,1,1,2,,,2,,Europe,Drowning,Ukraine,"Unspecified location in the Tisza River, Transcarpathia, Ukraine on border with Romania","Державна прикордонна служба України (Ukrainian State Border Guard)","47.98650058, 23.67351528","Ukraine to Europe",https://www.facebook.com/DPSUkraine/posts/335141652058045,"Eastern Europe",5
2022.MMP0422,2022.MMP0422,"South-eastern Asia","Sat, 04/30/2022 - 12:00",2022,April,2,,2,12,,,,"South-eastern Asia","Vehicle accident / death linked to hazardous transport",Myanmar,"Bang Bua Thong - Suphan Buri Rd, Moo7, Kokkram Subdistrict, Bangplama district, Suphan Buri, Thailand","Banmuang, 7HD, Thai News Agency","14.40311671, 100.164845",,"https://archive.vn/8Udnh, https://archive.vn/UJ95y, https://archive.vn/UcoDZ","South-eastern Asia",3
2022.MMP0423,2022.MMP0423,Mediterranean,"Fri, 05/06/2022 - 12:00",2022,May,1,,1,16,,,,"Southern Asia","Mixed or unknown",Bangladesh,"Unspecified location off the coast of Misrata, Libya - embarkation at Al Khums Naval base","Turkish Ministry of Defense, IOM Libya","33.14787681, 15.167232","Central Mediterranean",https://archive.ph/oUO1q,Uncategorized,5
2022.MMP0424,2022.MMP0424,"North America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,1,,,"Central America","Vehicle accident / death linked to hazardous transport",Honduras,"Highway 281 north of San Manuel,Lynn County,Texas,United States of America","US Border Patrol","26.62944979, -98.112514","US-Mexico border crossing",https://archive.ph/xQaYx,"Northern America",5
2022.MMP0425,2022.MMP0425,"Central America","Fri, 04/22/2022 - 12:00",2022,April,1,,1,,1,,,"Central America",Violence,Guatemala,"Coatzintla,Veracruz, México","Foreign Affairs Ministry Guatemala, La Aldea de la Informacion","20.48326962, -97.466227",,"https://archive.ph/32cwp, https://archive.ph/LDCHR","Central America",5
2022.MMP0426,2022.MMP0426,"Central America","Thu, 04/28/2022 - 12:00",2022,April,2,,2,,,1,1,"Central America","Vehicle accident / death linked to hazardous transport",Nicaragua,"Federal Highway 53,Castaños, Coahuila de Zaragoza, Mexico","El Sol de la Laguna, Diario del Yaqui","26.69193169, -101.382989","US-Mexico border crossing","https://archive.ph/N8xc6, https://archive.ph/0XcpM","Central America",1
2022.MMP0427,2022.MMP0427,"Central America","Fri, 04/29/2022 - 12:00",2022,April,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near Camino Real International Bridge, Piedras Negras, Coahuila, Mexico",Cibercuba,"28.69749259, -100.511041","US-Mexico border crossing",https://archive.ph/DZMDS,"Central America",1
2022.MMP0428,2022.MMP0428,"Central America","Sun, 05/01/2022 - 12:00",2022,May,1,,1,,,1,,"Central America",Drowning,Nicaragua,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico","Texas Nicaraguan Community, 100% Noticias Nicaragua.","28.70505078, -100.512282","US-Mexico border crossing","https://www.facebook.com/texas.nic.community/posts/762374541806183, https://archive.ph/OI7Pa","Central America",4
2022.MMP0429,2022.MMP0429,"North America","Tue, 05/03/2022 - 12:00",2022,May,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Uninhabited area near Carrizo Springs, Dimmit County, Texas, United States of America","K911 Noticias","28.5142065, -99.895202","US-Mexico border crossing",https://archive.ph/dLRCs,"Northern America",1
2022.MMP0430,2022.MMP0430,Mediterranean,"Fri, 04/29/2022 - 12:00",2022,April,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore 5KM West of Sabratha DP, Sabratha, Libya","IOM Libya","32.81545615, 12.434809","Central Mediterranean",,Uncategorized,4
2022.MMP0431,2022.MMP0431,Mediterranean,"Thu, 05/05/2022 - 12:00",2022,May,2,,2,,,2,,Unknown,Drowning,Unknown,"Remains washed ashore at Abubasla, Zuwara, Libya","IOM Libya","33.00126156, 11.976061","Central Mediterranean",,Uncategorized,4
2022.MMP0432,2022.MMP0432,Mediterranean,"Fri, 05/06/2022 - 12:00",2022,May,2,,2,,,2,,Unknown,Drowning,Unknown,"Remains washed ashore 7KM West of Sabratha DP, Sabratha, Libya","IOM Libya","32.81545615, 12.434809","Central Mediterranean",,Uncategorized,4
2022.MMP0433,2022.MMP0433,"Central America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo, Morelos Colony, Acuña, Coahuila, Mexico",Zócalo,"29.30446461, -100.8861965","US-Mexico border crossing",https://archive.ph/KnFq5,"Central America",1
2022.MMP0434,2022.MMP0434,"North America","Fri, 05/06/2022 - 12:00",2022,May,1,,1,,,1,,"Central America","Accidental death",Mexico,"At the border wall, near Drucker Lane and Kearns Street, Otay Mesa, San Diego County, California, United States of America","FOX5, Noticas Ya, Mundo Hispanico","32.54929721, -116.9494515","US-Mexico border crossing","https://archive.ph/b4TEs, https://archive.ph/cCcAS, https://archive.ph/fKbCX","Northern America",3
2022.MMP0436,2022.MMP0436,"North America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo, Del Rio Texas, Val Verde County, Texas, United States of America","US Border Patrol, La Verdad, Zócalo","29.32753151, -100.9251559","US-Mexico border crossing","https://archive.ph/iSaE2, https://archive.ph/nDmT4, https://archive.ph/cT1IM","Northern America",5
2022.MMP0437,2022.MMP0437,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)","Accidental death",Unknown,"Railroad tracks near Viborilla de Suarez, Guanajuato, Mexico","Periodico Correo MX","20.37768398, -101.728838",,https://archive.ph/mWD5T,"Central America",1
2022.MMP0438,2022.MMP0438,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,Caribbean,Drowning,Cuba,"Rio Bravo, Piedras Negras, Coahuila, Mexico","Mario Alvarado PN, Zócalo, ADN Cuba","28.70097983, -100.51163","US-Mexico border crossing","https://twitter.com/MarioAlvaradoPN/status/1523789894027718657?cxt=HHwWgsDRnbq1y6UqAAAA, https://archive.ph/QNStQ, https://archive.ph/Aobmw, https://archive.ph/RRxkr","Central America",3
2022.MMP0439,2022.MMP0439,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico","Líder Web","27.59635532, -99.53730188","US-Mexico border crossing",https://archive.ph/oCbax,"Central America",1
2022.MMP0440,2022.MMP0440,Caribbean,"Sun, 05/08/2022 - 12:00",2022,May,1,,1,56,1,,,Caribbean,Drowning,"Dominican Republic","Off Mona Island in the Mona Passage, Mayaguez 00680, Puerto Rico, USA","El Día, Blaze Trends","18.08738114, -67.89409572","Dominican Republic to Puerto Rico","https://archive.ph/UQ2yT, https://archive.ph/3RJOG",Caribbean,3
2022.MMP0441,2022.MMP0441,"North America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Central America",Drowning,Honduras,"Rio Bravo near Rosita Colony Eagle Pass, Maverick County, Texas, United States of America","Noticias Telemundo, GMN Noticas","28.60670162, -100.4327162","US-Mexico border crossing","https://archive.ph/hG1aJ, https://archive.ph/GhGzo","Northern America",3
2022.MMP0442,2022.MMP0442,"North America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Old Eagle Pass Road (Antiguo Camino a Uvalde), Uvalde County, Texas, United States of America",Zócalo,"29.1890127, -99.82253788","US-Mexico border crossing",https://archive.ph/hG1aJ,"Northern America",1
2022.MMP0443,2022.MMP0443,"Northern Africa","Fri, 05/13/2022 - 12:00",2022,May,1,,1,14,,1,,"Sub-Saharan Africa (P)","Mixed or unknown",Senegal,"Around 141km south of Gran Canaria, Spain - embarcation from Boujdour, Western Sahara","Canarias 7, ABC , Caminando Fronteras","26.51992749, -15.607249","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/KcIMw, https://archive.ph/AEwpy, https://archive.ph/RTHiB","Northern Africa",4
2022.MMP0444,2022.MMP0444,Europe,"Mon, 04/18/2022 - 12:00",2022,April,,1,1,,,1,,"Sub-Saharan Africa (P)","Accidental death",Unknown,"Bidasoa river, Basque Country, Spain","Diario Vasco, InfoMigrants, Noticias de Gipuzkoa","43.35019956, -1.7859",,"https://archive.ph/CXg50, https://archive.ph/rBpGK, https://archive.ph/p8BTk","Southern Europe",3
2022.MMP0445,2022.MMP0445,"South-eastern Asia","Fri, 05/06/2022 - 12:00",2022,May,1,,1,13,,1,,"South-eastern Asia","Vehicle accident / death linked to hazardous transport",Myanmar,"Nong Kham-Nong Nun Road, Moo 8, Koh Lak subdistrict, Muang district, Prachuap Khiri Khan province, Thailand","Bangkok Post, Manager Online, 7HD, Matichon Online, Thai PBS News, Siamrath","11.80198353, 99.752514",,"https://archive.vn/Y1zEn, https://archive.ph/NrAcd, https://archive.vn/E1lfe#selection-5583.0-5583.56, https://archive.ph/GtrEO, https://archive.ph/0JdJY, https://archive.ph/12QlV","South-eastern Asia",3
2022.MMP0446,2022.MMP0446,"South-eastern Asia","Mon, 05/09/2022 - 12:00",2022,May,1,,1,20,,,,"South-eastern Asia","Vehicle accident / death linked to hazardous transport",Myanmar,"Ban Teenamu, Moo11, Mae Tuen subdistrict, Mae Ramat district, Tak province, Thailand","Banmuang, Siamrath, Chiangmai News, Matichon Online","17.24432306, 98.447198",,"https://archive.vn/9zfDH, https://archive.ph/HnCRS, https://archive.ph/IqhSz, https://archive.ph/ZQNZ0","South-eastern Asia",3
2022.MMP0447,2022.MMP0447,Mediterranean,"Tue, 05/10/2022 - 12:00",2022,May,3,,3,,,,,"Sub-Saharan Africa",Drowning,Unknown,"Remains retreived from the waters off the coasts of El Awabed-Jebiniana, Sfax, Tunisia","Tunisian Guarde Nationale","35.00342779, 10.950701","Central Mediterranean",https://archive.ph/KmALz,Uncategorized,5
2022.MMP0448,2022.MMP0448,"Eastern Africa","Wed, 04/27/2022 - 12:00",2022,April,1,,1,,,1,,"Eastern Africa",Violence,Ethiopia,"Burao, Togdheer region, Somalia","Ethiopian Community Center via IOM Somalia","9.516309516, 45.557167",,,"Eastern Africa",4
2022.MMP0449,2022.MMP0449,Europe,"Wed, 05/11/2022 - 12:00",2022,May,1,,1,,,,,"Eastern Africa",Violence,Eritrea,"Found hung in a truck trailer parked in the Transmarck area, pas-de-Calais, France","InfoMigrants, AFP via SudOuest","50.94064795, 1.941569","English Channel to the UK","https://archive.ph/TCdO8, https://archive.ph/qdld2","Western Europe",3
2022.MMP0450,2022.MMP0450,Mediterranean,"Sat, 05/14/2022 - 12:00",2022,May,,8,8,3,2,6,,"Northern Africa",Drowning,Algeria,"Unspecified location in the Alboran Sea off Almeria, Spain - departure from Oran, Mers el Hadjadj on 7 May","Héroes del Mar, Francisco Jose Clemente Martin, EFE via DW, Caminando Fronteras, CIPIMD","36.82826849, -2.464412","Western Mediterranean","https://archive.ph/1ibhV, https://www.facebook.com/frascue1/videos/5145866348784098/, https://archive.ph/7RU30, https://archive.ph/OmgRD, https://caminandofronteras.org/wp-content/uploads/2023/01/Monitoreo-Derecho-a-la-Vida-2022-ES-v2.pdf",Uncategorized,4
2022.MMP0451,2022.MMP0451,Mediterranean,"Sun, 05/15/2022 - 12:00",2022,May,11,5,16,5,1,,,"Northern Africa",Drowning,Algeria,"Off Fouka, Tipaza, Algeria - embarkation from Zeralda, Algiers, Alergia","Héroes del Mar, Francisco Jose Clemente Martin, Echorouk Online","36.68547137, 2.747042","Western Mediterranean","https://archive.ph/EcLXm, https://www.facebook.com/100000768086473/videos/407486957900523/, https://archive.ph/4yD7D",Uncategorized,4
2022.MMP0452,2022.MMP0452,Europe,"Sun, 04/10/2022 - 12:00",2022,April,,2,2,,,1,1,"Western Asia",Violence,"Syrian Arab Republic","Unspecified location in Evros region close to the border with Edirne, Greece","IOM Türkiye","41.65826038, 26.480587","Türkiye-Europe land route",,Uncategorized,4
2022.MMP0453,2022.MMP0453,"Northern Africa","Sun, 05/15/2022 - 12:00",2022,May,2,11,13,46,4,5,4,"Sub-Saharan Africa (P)",Drowning,Unknown,"Off the coast of Laayoune, Western Sahara - embarkation from Guelmin on 11 May","Helena Maleno, Caminando Fronteras","27.15519562, -13.459169","Western Africa / Atlantic route to the Canary Islands","https://www.facebook.com/helena.malenogarzon/posts/5430315093667430, https://archive.ph/TaPBV, https://caminandofronteras.org/wp-content/uploads/2023/01/Monitoreo-Derecho-a-la-Vida-2022-ES-v2.pdf","Northern Africa",4
2022.MMP0454,2022.MMP0454,"Northern Africa","Sun, 05/08/2022 - 12:00",2022,May,17,27,44,12,,,,"Sub-Saharan Africa (P)",Drowning,Unknown,"Off cape Boujdour, Western Sahara - departure from Laayune, on 7 May","Caminando Fronteras, Helena Maleno, MAP News","26.12291766, -14.50032","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/CkRGK, https://archive.ph/O4T4k, https://archive.ph/gPjYa","Northern Africa",4
2022.MMP0456,2022.MMP0456,"Southern Asia","Wed, 03/09/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0457,2022.MMP0457,"Southern Asia","Wed, 03/09/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0458,2022.MMP0458,"Southern Asia","Thu, 03/10/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Isfahan province, Iran","IOM Afghanistan","32.64139838, 51.706926","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0459,2022.MMP0459,"Southern Asia","Thu, 03/10/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0460,2022.MMP0460,"Southern Asia","Sat, 03/12/2022 - 12:00",2022,March,1,,1,,1,,,"Southern Asia","Sickness / lack of access to adequate healthcare",Afghanistan,"Unspecified location in Isfahan province, Iran","IOM Afghanistan","32.64139838, 51.706926","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0461,2022.MMP0461,"Southern Asia","Sun, 03/13/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0462,2022.MMP0462,"Southern Asia","Sat, 03/19/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Isfahan province, Iran","IOM Afghanistan","32.64139838, 51.706926","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0463,2022.MMP0463,"Southern Asia","Sat, 03/19/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Karaj city, Alborz province, Iran","IOM Afghanistan","35.83457043, 50.951497","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0464,2022.MMP0464,"Southern Asia","Sat, 03/19/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Karaj city, Alborz province, Iran","IOM Afghanistan","35.83457043, 50.951497","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0465,2022.MMP0465,"Southern Asia","Sun, 03/20/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Isfahan province, Iran","IOM Afghanistan","32.64139838, 51.706926","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0466,2022.MMP0466,"Southern Asia","Sat, 03/26/2022 - 12:00",2022,March,1,,1,,,1,1,"Southern Asia","Sickness / lack of access to adequate healthcare",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0467,2022.MMP0467,"Southern Asia","Sat, 03/26/2022 - 12:00",2022,March,1,,1,,1,,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Shiraz city, Fars Province, Iran","IOM Afghanistan","29.63447121, 52.553603","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0468,2022.MMP0468,"Southern Asia","Sun, 03/27/2022 - 12:00",2022,March,1,,1,,1,,,"Southern Asia","Sickness / lack of access to adequate healthcare",Afghanistan,"Unspecified location in Isfahan province, Iran","IOM Afghanistan","32.64139838, 51.706926","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0469,2022.MMP0469,"Southern Asia","Mon, 03/28/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Kashan city, Isfahan province, Iran","IOM Afghanistan","33.98112192, 51.428201","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0470,2022.MMP0470,"Southern Asia","Mon, 03/28/2022 - 12:00",2022,March,1,,1,,,1,1,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Kashan city, Isfahan province, Iran","IOM Afghanistan","33.98112192, 51.428201","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0471,2022.MMP0471,"Southern Asia","Tue, 03/29/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Afghanistan,"Unspecified location in Shiraz city, Fars Province, Iran","IOM Afghanistan","29.63447121, 52.553603","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0472,2022.MMP0472,"Southern Asia","Wed, 03/30/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Ahvaz city, Khuzestan Province, Iran","IOM Afghanistan","31.34751177, 48.721392","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0473,2022.MMP0473,"Southern Asia","Thu, 03/31/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Tehran province, Iran","IOM Afghanistan","35.6094831, 51.514054","Afghanistan to Iran",,"Southern Asia",4
2022.MMP0474,2022.MMP0474,"Southern Asia","Thu, 03/31/2022 - 12:00",2022,March,1,,1,,,1,,"Southern Asia","Accidental death",Afghanistan,"Unspecified location in Bandar Abbas city, Hormozgan Province, Iran","IOM Afghanistan","27.1684853, 56.200806","Afghanistan to Iran",,"Southern Asia",4
